,date,region,hosp_pred,icu_pred
1,01/03/2020,ARA,8,0
2,02/03/2020,ARA,18,1
3,03/03/2020,ARA,22,2
4,04/03/2020,ARA,32,4
5,05/03/2020,ARA,46,5
6,06/03/2020,ARA,52,7
7,07/03/2020,ARA,57,7
8,08/03/2020,ARA,62,9
9,09/03/2020,ARA,57,9
10,10/03/2020,ARA,67,11
11,11/03/2020,ARA,95,14
12,12/03/2020,ARA,116,17
13,13/03/2020,ARA,147,23
14,14/03/2020,ARA,162,28
15,15/03/2020,ARA,195,39
16,16/03/2020,ARA,288,60
17,17/03/2020,ARA,350,74
18,18/03/2020,ARA,481,84
19,19/03/2020,ARA,577,95
20,20/03/2020,ARA,713,103
21,21/03/2020,ARA,821,130
22,22/03/2020,ARA,982,172
23,23/03/2020,ARA,1151,214
24,24/03/2020,ARA,1316,263
25,25/03/2020,ARA,1536,329
26,26/03/2020,ARA,1774,392
27,27/03/2020,ARA,2021,452
28,28/03/2020,ARA,2171,497
29,29/03/2020,ARA,2344,547
30,30/03/2020,ARA,2502.919686,607
31,31/03/2020,ARA,2609.868366,646.9865447
32,01/04/2020,ARA,2598.838137,676.9865447
33,02/04/2020,ARA,2675.778599,691.9865447
34,03/04/2020,ARA,2695.683036,711.9949593
35,04/04/2020,ARA,2748.66618,719.9879023
36,05/04/2020,ARA,2834.558669,720.9547826
37,06/04/2020,ARA,2772.029206,704.9909713
38,07/04/2020,ARA,2722.473156,692.8237878
39,08/04/2020,ARA,2641.830959,681.8391002
40,09/04/2020,ARA,2629.662516,664.831712
41,10/04/2020,ARA,2589.89775,649.7592884
42,11/04/2020,ARA,2591.434815,646.7058246
43,12/04/2020,ARA,2622.077745,640.6054381
44,13/04/2020,ARA,2635.611825,626.5556608
45,14/04/2020,ARA,2533.924307,602.2959543
46,15/04/2020,ARA,2454.458222,583.012353
47,16/04/2020,ARA,2391.288711,563.8955416
48,17/04/2020,ARA,2279.420889,535.679839
49,18/04/2020,ARA,2310.778689,540.6533316
50,19/04/2020,ARA,2328.266101,542.5943034
51,20/04/2020,ARA,2220.717396,521.5094072
52,21/04/2020,ARA,2146.318259,488.8770614
53,22/04/2020,ARA,2066.098161,456.3843675
54,23/04/2020,ARA,1998.811441,439.0577291
55,24/04/2020,ARA,1926.457248,416.5813107
56,25/04/2020,ARA,1925.350693,415.515531
57,26/04/2020,ARA,1939.536094,408.1828186
58,27/04/2020,ARA,1815.522063,373.3494185
59,28/04/2020,ARA,1736.888921,364.9497325
60,29/04/2020,ARA,1656.701265,350.3923031
61,30/04/2020,ARA,1555.12799,334.5960405
62,01/05/2020,ARA,1571.68846,325.0511918
63,02/05/2020,ARA,1578.890038,325.9958781
64,03/05/2020,ARA,1599.90727,322.7864224
65,04/05/2020,ARA,1487.623624,300.9992299
66,05/05/2020,ARA,1404.159386,282.1305712
67,06/05/2020,ARA,1299.131045,264.0816406
68,07/05/2020,ARA,1233.138066,239.9166931
70,01/03/2020,BFC,2,0
71,02/03/2020,BFC,5,0
72,03/03/2020,BFC,7,0
73,04/03/2020,BFC,11,0
74,05/03/2020,BFC,18,2
75,06/03/2020,BFC,28,2
76,07/03/2020,BFC,32,2
77,08/03/2020,BFC,36,3
78,09/03/2020,BFC,48,5
79,10/03/2020,BFC,64,6
80,11/03/2020,BFC,74,8
81,12/03/2020,BFC,88,11
82,13/03/2020,BFC,107,10
83,14/03/2020,BFC,121,16
